  36 055 Monroe                   NY        17    .17        24    .12
  12 053 Hernando                 Fl        17    .17        31    .15
  24 033 Prince George's          Md        17    .17        32    .16
  35 001 Bernalillo               NM        17    .17        46    .23
  12 017 Citrus                   Fl        17    .17        30    .15
  42 029 Chester                  Pa        17    .17        39    .19
  45 051 Horry                    SC        17    .17        41    .20
  06 071 San Bernardino           Ca        16    .16        36    .18
  24 031 Montgomery               Md        16    .16        32    .16
  06 065 Riverside                Ca        16    .16        36    .18
  12 117 Seminole                 Fl        16    .16        28    .14
  12 081 Manatee                  Fl        15    .15        24    .12
  13 121 Fulton                   Ga        15    .15        26    .13
  06 001 Alameda                  Ca        15    .15        25    .12
  36 059 Nassau                   NY        15    .15        30    .15
  26 103 Marquette                Mi        15    .15        46    .23
  10 003 New Castle               De        14    .14        35    .17
  25 013 Hampden                  Ma        14    .14        21    .10
  12 097 Osceola                  Fl        14    .14        26    .13
  12 087 Monroe                   Fl        14    .14        22    .11
  34 005 Burlington               NJ        14    .14        43    .21
  02 020 Anchorage Borough        Ak        14    .14        28    .14
  08 013 Boulder                  Co        14    .14        17    .08
  50 025 Windham                  Vt        13    .13        17    .08
  13 153 Houston                  Ga        13    .13        39    .19
  34 003 Bergen                   NJ        13    .13        26    .13
  45 013 Beaufort                 SC        13    .13        24    .12
  36 029 Erie                     NY        13    .13        28    .14
  51 810 Virginia Beach city      Va        13    .13        28    .14
  12 069 Lake                     Fl        13    .13        32    .16
  42 101 Philadelphia             Pa        13    .13        26    .13
  36 103 Suffolk                  NY        13    .13        20    .10
  51 700 Newport News city        Va        12    .12        19    .09
  42 091 Montgomery               Pa        12    .12        22    .11
  39 113 Montgomery               Oh        12    .12        28    .14
  17 163 St. Clair                Il        12    .12        27    .13
  49 011 Davis                    Ut        12    .12        32    .16
  42 003 Allegheny                Pa        12    .12        20    .10
  13 067 Cobb                     Ga        11    .11        25    .12
  51 013 Arlington                Va        11    .11        15    .07
  36 071 Orange                   NY        11    .11        19    .09
  18 103 Miami                    In        11    .11        30    .15
  23 025 Somerset                 Me        11    .11        27    .13
  09 013 Tolland                  Ct        11    .11        14    .07
  23 007 Franklin                 Me        11    .11        19    .09
  22 079 Rapides                  La        11    .11        28    .14
  12 105 Polk                     Fl        11    .11        17    .08
  12 085 Martin                   Fl        11    .11        18    .09
  45 015 Berkeley                 SC        11    .11        29    .14
  37 119 Mecklenburg              NC        11    .11        24    .12
  37 081 Guilford                 NC        11    .11        21    .10
  26 125 Oakland                  Mi        11    .11        19    .09
  29 101 Johnson                  Mo        11    .11        38    .19
  38 101 Ward                     ND        10    .10        34    .17
  39 061 Hamilton                 Oh        10    .10        11    .05
  08 031 Denver                   Co        10    .10        13    .06
  41 067 Washington               Or        10    .10        17    .08
  42 017 Bucks                    Pa        10    .10        20    .10
  17 043 Du Page                  Il        10    .10        27    .13
  55 079 Milwaukee                Wi        10    .10        17    .08
  01 101 Montgomery               Al        10    .10        32    .16
  18 097 Marion                   In        10    .10        15    .07
  27 053 Hennepin                 Mn        10    .10        22    .11
  11 001 Wash.,D.C.               DC        10    .10        13    .06
  46 103 Pennington               SD        10    .10        37    .18
  06 115 Yuba                     Ca        10    .10        30    .15
  13 089 De Kalb                  Ga        10    .10        21    .10
  36 091 Saratoga                 NY        10    .10        25    .12
   Region 1:   Northeast                   444   4.31       908   4.46
