12 001   Alachua Total Migration  Fl      6194            10626
  06 037 Los Angeles              Ca       264    .85       416    .75
  12 127 Volusia                  Fl       257    .83       471    .85
  12 117 Seminole                 Fl       248    .80       471    .85
  12 083 Marion                   Fl       245    .79       488    .88
  12 073 Leon                     Fl       237    .76       350    .63
  12 071 Lee                      Fl       230    .74       389    .70
  57 005 APO / FPO Zip Code       FR       218    .70       309    .56
  48 201 Harris                   Tx       212    .68       410    .74
  36 059 Nassau                   NY       209    .67       367    .66
  36 081 Queens                   NY       207    .67       377    .68
  13 121 Fulton                   Ga       201    .65       334    .60
  13 067 Cobb                     Ga       197    .63       380    .69
  36 103 Suffolk                  NY       195    .63       334    .60
  36 047 Kings                    NY       194    .62       370    .67
  57 001 Foreign / Overseas       FR       186    .60       346    .63
  12 087 Monroe                   Fl       181    .58       286    .52
  12 105 Polk                     Fl       179    .58       366    .66
  12 085 Martin                   Fl       171    .55       304    .55
  48 113 Dallas                   Tx       165    .53       259    .47
  36 061 New York                 NY       163    .52       210    .38
  04 013 Maricopa                 Az       161    .52       286    .52
  13 089 De Kalb                  Ga       157    .50       240    .43
  12 021 Collier                  Fl       155    .50       279    .50
  32 003 Clark                    Nv       152    .49       247    .45
  12 115 Sarasota                 Fl       140    .45       251    .45
  13 135 Gwinnett                 Ga       134    .43       320    .58
  12 055 Highlands                Fl       132    .42       273    .49
  06 073 San Diego                Ca       131    .42       208    .38
  37 119 Mecklenburg              NC       122    .39       251    .45
  34 003 Bergen                   NJ       121    .39       193    .35
  06 059 Orange                   Ca       116    .37       198    .36
  12 061 Indian River             Fl       112    .36       202    .37
  12 069 Lake                     Fl       110    .35       217    .39
  42 003 Allegheny                Pa       110    .35       186    .34
  25 017 Middlesex                Ma       108    .35       149    .27
  37 183 Wake                     NC       108    .35       231    .42
  24 031 Montgomery               Md       107    .34       177    .32
  36 119 Westchester              NY       102    .33       160    .29
  51 059 Fairfax                  Va       100    .32       208    .38
  09 001 Fairfield                Ct        97    .31       153    .28
  12 101 Pasco                    Fl        97    .31       181    .33
  42 101 Philadelphia             Pa        96    .31       135    .24
  39 035 Cuyahoga                 Oh        94    .30       151    .27
  57 003 Foreign / Puerto Rico    FR        94    .30       200    .36
  12 097 Osceola                  Fl        93    .30       164    .30
  26 125 Oakland                  Mi        92    .30       154    .28
  48 439 Tarrant                  Tx        89    .29       183    .33
  25 025 Suffolk                  Ma        88    .28       121    .22
  12 017 Citrus                   Fl        88    .28       170    .31
  39 049 Franklin                 Oh        87    .28       138    .25
  36 029 Erie                     NY        86    .28       158    .29
  18 097 Marion                   In        86    .28       152    .27
  53 033 King                     Wa        83    .27       138    .25
  47 037 Davidson                 Tn        83    .27       153    .28
  36 055 Monroe                   NY        81    .26       145    .26
  34 013 Essex                    NJ        78    .25       117    .21
  26 163 Wayne                    Mi        72    .23       110    .20
  12 081 Manatee                  Fl        71    .23       121    .22
  47 157 Shelby                   Tn        70    .23       139    .25
  12 109 St. Johns                Fl        69    .22       120    .22
  12 015 Charlotte                Fl        68    .22       143    .26
  48 029 Bexar                    Tx        67    .22       145    .26
  09 003 Hartford                 Ct        67    .22       120    .22
  34 023 Middlesex                NJ        67    .22       110    .20
  09 009 New Haven                Ct        66    .21       114    .21
  12 019 Clay                     Fl        66    .21       138    .25
  12 093 Okeechobee               Fl        66    .21       137    .25
  34 029 Ocean                    NJ        65    .21       105    .19
  34 025 Monmouth                 NJ        65    .21       119    .22
  39 061 Hamilton                 Oh        64    .21       106    .19
  36 005 Bronx                    NY        64    .21       116    .21
  01 073 Jefferson                Al        64    .21       135    .24
  37 021 Buncombe                 NC        63    .20       137    .25
  27 053 Hennepin                 Mn        62    .20       106    .19
  17 043 Du Page                  Il        61    .20       111    .20
  21 111 Jefferson                Ky        59    .19        99    .18
  47 093 Knox                     Tn        59    .19       121    .22
  34 001 Atlantic                 NJ        58    .19        85    .15
  25 021 Norfolk                  Ma        57    .18        77    .14
  51 810 Virginia Beach city      Va        57    .18       101    .18
  15 003 Honolulu                 Hi        56    .18        80    .14
  08 041 El Paso                  Co        56    .18       102    .18
  25 009 Essex                    Ma        54    .17        79    .14
  13 051 Chatham                  Ga        54    .17       109    .20
  12 053 Hernando                 Fl        54    .17       116    .21
  34 039 Union                    NJ        53    .17        96    .17
  34 027 Morris                   NJ        52    .17        81    .15
  42 017 Bucks                    Pa        52    .17        96    .17
  24 033 Prince George's          Md        51    .16        86    .16
  11 001 Wash.,D.C.               DC        50    .16        63    .11
  08 059 Jefferson                Co        50    .16        84    .15
  42 091 Montgomery               Pa        49    .16        66    .12
  34 017 Hudson                   NJ        48    .15        88    .16
  55 079 Milwaukee                Wi        48    .15        77    .14
  44 007 Providence               RI        48    .15        77    .14
  04 019 Pima                     Az        48    .15        82    .15
  06 085 Santa Clara              Ca        47    .15        72    .13
  22 071 Orleans                  La        47    .15        69    .12
  06 075 San Francisco            Ca        47    .15        68    .12
  12 005 Bay                      Fl        46    .15        76    .14
  17 097 Lake                     Il        45    .14        84    .15
  24 003 Anne Arundel             Md        45    .14        81    .15
  40 143 Tulsa                    Ok        45    .14        99    .18
  12 121 Suwannee                 Fl        45    .14        97    .18
  25 023 Plymouth                 Ma        45    .14        68    .12
  06 001 Alameda                  Ca        44    .14        83    .15
  13 063 Clayton                  Ga        44    .14        80    .14
  37 081 Guilford                 NC        44    .14        81    .15
  12 023 Columbia                 Fl        44    .14        90    .16
  48 453 Travis                   Tx        44    .14        74    .13
  29 189 St. Louis                Mo        44    .14        77    .14
  26 099 Macomb                   Mi        44    .14        70    .13
  25 027 Worcester                Ma        43    .14        66    .12
  36 071 Orange                   NY        43    .14        73    .13
  45 045 Greenville               SC        43    .14        84    .15
  37 051 Cumberland               NC        43    .14        62    .11
  01 097 Mobile                   Al        43    .14       104    .19
  12 033 Escambia                 Fl        42    .14        86    .16
  08 005 Arapahoe                 Co        42    .14        86    .16
  39 113 Montgomery               Oh        41    .13        67    .12
  24 005 Baltimore                Md        41    .13        63    .11
  36 085 Richmond                 NY        40    .13        67    .12
  06 065 Riverside                Ca        40    .13        73    .13
  13 113 Fayette                  Ga        39    .13       108    .20
  35 001 Bernalillo               NM        39    .13        73    .13
  22 051 Jefferson                La        39    .13        64    .12
  08 031 Denver                   Co        38    .12        50    .09
  33 011 Hillsborough             NH        38    .12        97    .18
  36 087 Rockland                 NY        37    .12        67    .12
  06 071 San Bernardino           Ca        37    .12        85    .15
  34 031 Passaic                  NJ        37    .12        70    .13
  12 107 Putnam                   Fl        36    .12        80    .14
  39 153 Summit                   Oh        36    .12        60    .11
  25 001 Barnstable               Ma        36    .12        64    .12
